,page,id,text,like,love,care,haha,wow,sad,angry
10,atunemusichebe,424699219016558,"我喜歡我是赤裸的
你也是赤裸的
看著彼此肥胖和瘦弱而不嫌惡
我們的愛禁得起
一點幻滅的打擊

仰頭假寐意志被打濕
水推擠著簇擁著
感覺不到身體存在
閉眼時浮出腦海的許多心事
疲累一擁而上
還是趕緊起身
擦乾那些皮膚的淚水
穿衣，為寒涼的心保暖

時常
我們驅車，上山，流連溫泉鄉
心事在溫泉裡載浮載沉
最終通通流走
被泉水烹煮過的我們
離開後，醺然欲睡

——林婉瑜
【可能的花蜜 - 流連溫泉鄉 】

#我們的愛禁得起一些幻滅的打擊
#醺然欲睡
#晚安
#好眠",27091,1570,63,14,30,2,1
11,atunemusichebe,418473359639144,"中西、古今、人偶、身聲、善惡、虛構與真相，人性的幽微與人生的幽默，表演紮實精湛，視覺聽覺軟硬體設計精密執行，導演煎煮炒炸巧妙揉合調度。
我就問王嘉明是瘋了還是想把誰逼瘋？

《混音理查三世》美味完食！

謝謝招待！

#混音理查三世
#莎士比亞的妹妹們的劇團

https://bit.ly/3tXXnSW",13547,734,20,24,23,1,1
12,atunemusichebe,414856526667494,"/小樂手/

不一樣的嘗試，喜歡嗎？🤗

#Rollacoaster雜誌
#田馥甄出道20周年紀念刊",8637,895,16,6,21,0,1
13,atunemusichebe,413414506811696,"🎤Go ea~~~~sy on me baby🎶

“I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in”

#adele

🎤 加油 ea~~~~sy on me寶貝🎶

“我知道這些水域有希望
但我不能帶自己去游泳
當我沉淪於這種寂靜中時
寶貝,讓我進去。”

#adele",24678,2094,72,6,21,1,0
14,atunemusichebe,411617533658060,"Autumn

🧡🍂🤎

#喜歡
#季節的顏色
#秋器
#秋花
#想去
#山中
#晚安
#好眠

秋天

🧡🍂🤎

#喜歡
#季節的顏色
#秋器
#秋花
#想去
#山中
#晚安
#好眠",20918,1492,43,5,11,1,1
15,atunemusichebe,408101887342958,"/小樂手/

♥️田馥甄無人知曉的心境➡️ https://bit.ly/3Fpagei

#封面人物 #田馥甄 #Bella儂儂
#BellaCover #2021年10月號",42476,3162,110,16,53,0,2
16,atunemusichebe,405171020969378,"/小樂手/

不如預期，就享受變化吧！
勇敢大步邁進，走向全新的可能
和 Citizen Watch 一起善愛自己，享受每個美好時光！🥰

#CITIZEN #每一刻都是全新的開始
#EcoDrive #光動能",6575,784,24,6,3,0,2
17,atunemusichebe,402691021217378,"每個家庭都有自己的故事，
每位家人都有自己表達愛的方式。

謝謝誰來晚餐讓我的心和胃，都被依伶可愛的一家人溫暖了，也有機會認識他們愛彼此的方式。

謝謝我們身邊願意慷慨給予的朋友們。
愛自己本來就不容易，謝謝你們願意愛著我們，讓我們知道自己值得被愛。

而你們，當然也值得啊！❤️",7381,999,32,5,8,2,2
18,atunemusichebe,401901931296287,桌上的象與喵🐘🐱🤍,11841,803,24,26,30,0,2
19,atunemusichebe,398390091647471,"中秋節快樂🌕

月圓人團圓⚪️

踏青去
看夕陽
剝柚子
烤肉趣
嚐月餅
賞月亮
好圓滿

#大家月餅月亮烤肉柚子照片曬出來吧",23500,2010,70,32,12,0,2
20,atunemusichebe,391842452302235,"謝謝我們一路伴著彼此，傻傻的愛，揮灑熱情，揮霍青春，放聲大笑，勇敢追夢，用力擁抱，心碎絕望，知所節制，學會放手，懂得珍惜，保持率真，依舊敢愛。

祝福我們永遠溫柔 、懂愛 、幽默。

20週年快樂！

陳嘉樺 Ella
任家萱 Selina
我愛妳們❤️",102149,10255,405,42,31,2,6
21,atunemusichebe,361752715311209,"一名在廁所拍花的女紙😛

涼風桔梗和綠鈴草真的好適合夏天，名字及視覺都降溫，簡直是花草界的OneBoy。😂😆🤣

#噗噗
#綠鈴草
#涼風桔梗",54872,2225,104,428,33,0,1
22,atunemusichebe,350791429740671,"裂了的器皿可以金繼，
謝了的愛情花無以為繼。

#洗碗洗一個太賣力
#易碎品請小心輕放
#碎碎平安
#睡睡平安
#愛情花
#晚安
#好眠",52711,1117,172,137,155,46,1
23,atunemusichebe,350253553127792,"安安靜靜，自然而然，很好。

#晚安
#好眠
#商陸花",38081,1061,60,17,18,1,1
24,atunemusichebe,347860546700426,"Hi !七月✋🏻

做喜歡的事，走喜歡的路，開啟七月。

#晚安
#好眠",80767,2706,211,19,39,0,2
25,atunemusichebe,345574510262363,"/小樂手/

OneBoy冰鋒衣🎶 🎶🎶 大家會唱了嗎?
一起穿 https://oneboy.tw/fwT4O
冰冰涼涼的降溫一下 心情也跟著美麗~😍
這個夏天 冰鋒衣穿起來 !!
疫情期間 也要一起渡過喔～

OneBoy

#oneboy冰鋒衣
#要穿就穿oneboy冰鋒衣
#穿比不穿還涼
#冰到不能再冰",41513,2064,118,41,39,3,4
26,atunemusichebe,345761013577046,"夏天的顏色

#麝香葡萄伯爵戚風
#晝開夜合的小豆樹",70765,1628,76,26,139,1,1
27,atunemusichebe,341964770623337,"在一個燈光昏暗，打著霓虹的時髦旅店進行拍攝工作，導演是比爾賈。

遇見拉拉帶著他們的鵝紙在拍攝現場地板的床墊上玩耍。

我覺得好像見到心儀的偶像那樣，不好意思又忍不住向前靠近：
「請你們可不可以不要停止po鵝照，好可愛，我好喜歡看啊！」

他們尷尬的笑著還沒回答我。

#我就夢醒了

#還好是夢否則也太尷尬

#居家防疫生活就是吃喝拉撒睡看書追劇聽歌栽植植災看窗外天空進出廚房各種實驗餵食自己躺床躺沙發懷疑自己解析自己懶得理自己一下樂觀一下絕望覺得需要平靜抄經唸經滑手機滿心期待看賈上樂爸媽分享他可愛照這樣

#真的有夠可愛好有喜感喔喔喔

#近期心頭好

#喔喔還有偶爾的視訊會議啦

#連做夢都在工作也是很熱愛工作了吧",51271,1094,80,810,28,0,1
28,atunemusichebe,337275044425643,"第一次一個人的端午節，也是第一次過的這麼有儀式感。

一口氣吃了五個粽子。

接了午時水刷牙洗臉。

趕不及午時立蛋，趕緊做個排排躺好的味噌醃漬蛋黃。

不知道是不是雄黃酒喝多了，覺得自己法力無邊，家裡沒有艾草，將就用鼠尾草自己當起法師，淨化家裡每個角落，連礦石也不放過。

跟遠方的家人視訊問候，彼此拍照分享各自的天空，看他們都好好的，覺得安心。

喝杯溫熱的苦茶，抄遍心經，願我們都能身心平安，度一切苦厄。

端午節快樂。

#晚安
#好眠",71251,1606,120,97,94,0,1
29,atunemusichebe,336768737809607,"「靜靜生活
好好睡覺
慢慢洗澡
細細刷牙」

- 何景窗



謝謝生命。

#看似簡單
#其實不然
#送你一朵小花
#晚安
#好眠",36317,1355,84,19,20,0,1
30,atunemusichebe,336075161212298,"Stay home/Keep calm/Eat clams

#深夜食堂
#Hebereats
#自煮蛤蜊
#自主隔離
#噗噗
#蒜香奶油酒蒸蛤蜊
#鮮甜蛤蜊汁精華雜炊
#每顆飯粒吸飽吸滿精華再打一顆蛋
#不浪費任何一滴精華
#客家精神就是讚
#完食蛤蜊部隊整齊守秩序
#晚安
#好眠
#最好看完這個你能好眠
#我很抱歉

待在家/保持冷靜/吃東西

#深夜食堂
#Hebereats
#自煮蛤蜊
#自主隔離
#噗噗
#蒜香奶油酒蒸蛤蜊
#鮮甜蛤蜊汁精華雜炊
#每顆飯粒吸飽吸滿精華再打一顆蛋
#不浪費任何一滴精華
#客家精神就是讚
#完食蛤蜊部隊整齊守秩序
#晚安
#好眠
#最好看完這個你能好眠
#我很抱歉",34817,1292,56,256,99,4,3
31,atunemusichebe,335522664600881,"肯瓊醬已嚐過，可安然入睡。

#時髦度的確認
#跟風的部分
#肯瓊醬好吃
#跟風裝流行點了BTSmeal朋友問蛤TBS?
#覺得替他感到哀傷也替當年誤把GD說成DG的自己鬆了一口氣
#長輩容易嗎
#你知道酷龍跟HOT嗎哈哈
#晚安
#好眠",60351,728,60,5799,72,6,2
32,atunemusichebe,334084848077996,"鍋煎超厚鬆餅

看著奶油融化好療癒

#外脆內鬆自己說
#需要小火與耐心
#不能沒有奶油啊
#Hebereats",50937,1474,72,35,200,0,1
33,atunemusichebe,333748824778265,"人跟洋甘菊都需要補充水分

#洋甘菊給你好眠
#補水給你夜尿
#矛盾大對決
#噗噗
#晚安
#好眠",36202,1067,60,214,22,2,1
34,atunemusichebe,332540128232468,"有誰跟我一樣看完《大豆田永久子與三個前夫》第八集，也雀躍地煮了費功的咖喱，以為最後小田切讓會來自己家裡一起共食，最後卻發現居家防疫獨身的自己，必須制定早中晚消滅咖喱計畫表？

這次為了符合劇情所謂”費時費功”的料理，也貫徹日式咖喱精神，讓洋蔥焦化，炒香炒軟炒爛，濃縮再濃縮，增添咖喱的底蘊；想讓咖喱更多層次，加入了薑泥、蒜泥、番茄泥、蘋果泥；熄火後黑巧克力、蜂蜜、鮮奶油的點綴也沒省略。

專心做好一件事，帶點期待而認真投入的過程，讓成品嚐起來覺得特別美味。

無所事事好像真的是一種天份。
安然自處一直是我的強項，從來都不會覺得無聊啊！

大豆田：「如果用一盤咖哩就能束縛一個人，那應該也能用一盤咖哩解放一個人。」

自主居家隔離防疫限制了某部分的你，但在限制裡或許更能看見無限的自己。

比如現在網路上大家都變成小廚神了呢。

大家一起加油！

#每天都是一種心的練習
#每天都是一種新的練習
#疫情過後還是可以邀小田切讓來試試我的咖喱
#紗窗我會先把它弄歪脫軌醬
#大豆田永久子與三個前夫
#坂元裕二是神
#剩兩集了好捨不得嗚嗚
#Hebereats",42272,1424,55,98,87,2,2
35,atunemusichebe,331919541627860,"今日為二十四節氣的【芒種】

芒種節氣因為陽氣旺盛，最重要的就是「養心」。

黃帝內經認為心主神明。
「南方生熱，熱生火，火生土，土生心，心生血。」
心經掌管所有臟腑運作，應該要保持清明，心平氣和。

但一想到【芒種】自六月五日起至六月二十日之間，會遇上端午節，就開始擔心起假期的返鄉潮。實在安不了心啊！

疫情仍嚴峻，若狀況允許，衷心盼望大家共體時艱，勿移動，勿返鄉。

送上兩張照片，是家裡花束其中很喜歡的兩位朋友，分別是小盼草與獨行菜。

祝福我們在日復一日獨行的日子裡，找到心中小小的盼望，且終能平安實現它。

#芒種
#操心的me
#呼籲端午節勿移動勿返鄉
#大家加油
#獨行菜
#小盼草
#晚安
#好眠",43124,1551,103,9,20,1,1
36,atunemusichebe,331745618311919,"「不能牽手的此刻 相信牽手的明天」

不能手牽手，但可以心連心。

我們都要好好照顧自己，期待下次相見唱歌給你聽。

#2021手牽手
#居家防疫
#愛用歌聲傳遞
#可以沒有腳架沒人幫拍打光沒記得拍橫式但不可以沒有題詞噗噗的一人",25388,2359,206,28,12,2,3
37,atunemusichebe,330466075106540,"感謝朋友贊助山上來的水蜜桃，讓我在家也能品嚐山中滋味。

烤個伯爵戚風，再打一些伯爵味道的鮮奶油，覺得可以。

#蜜桃伯爵戚風
#Hebereats
#喔喔咖啡杯也是朋友贊助的裝什麼都變好喝的五次窯燒杯",42437,1297,54,11,77,2,1
38,atunemusichebe,329463401873474,"Hi 六月👋🏻😊

不能沒有你。

「一花一天堂
可我從不是朵孤高的花
浩瀚的森林裡，故事如海
杜鵑托卵，苔蘚附生
秋末的青剛櫟是一場盛宴
桑寄生巧思設計了啄花鳥
樹梢傳來角蟬甜蜜的清唱：
沒有誰能夠獨活

寄生，偏食，牽制，利用
樹冠下有相互依存，也有爾虞我詐
絲線般拉起
織就一張巨大而綿密的網
微渺而如是壯偉
生命在其間繁茂，循環往復
無始也無終」

#六月你好
#地球上的我們
#種間關係
#生命之森
#不能沒有你
#晚安
#好眠",57789,1642,140,34,28,5,1
39,atunemusichebe,326972145455933,"/小樂手/

2021 全新升級版的 OneBoy 冰鋒衣 來囉～
穿比不穿還涼 https://oneboy.tw/Hebe

防曬升級 UPF50+ 隔絕室內外紫外線
冰感升級 "" 每色都是各項檢測最高等級 ""
讓夏天的悶熱都消失 就像走進冰箱一樣 ❄
布料升級 99％抗菌除臭
流汗也不怕 非常清爽 哪都能穿
這個夏天就讓全新升級的冰鋒衣
陪伴你度過吧 !

疫情期間 要注意自身健康安全
口罩一定要戴好喔～大家加油～💪🏻

#oneboy冰鋒衣
#要穿就穿oneboy冰鋒衣
#穿比不穿還涼
#冰到不能再冰",86423,3153,177,60,111,10,17
40,atunemusichebe,325851782234636,"你有多久沒有在吃早餐的時候配上一份報紙？

喜歡The Affairs週刊編集，
因為我能一邊看它，一邊安心徒手拿三明治送進嘴巴裡。

喜歡The Affairs週刊編集，
因為它的美術設計編輯排版，總能讓我的視覺享受新東西，但編排妥帖舒心。

喜歡The Affairs週刊編集，
因為它總理智冷靜卻充滿溫度的關懷著世界每個角落，讓我們有機會見微知著。

我總覺得一個人的心長成什麼樣子，他的世界就是什麼模樣。

然而一個人選擇閱聽什麼，也決定了他的心添加了哪些成份。

居家防疫，關不住關懷世界的視線。

跟我一起在家看上一份好報紙吧！

The Affairs 編集者新聞

《週刊編集 2021》優惠訂閱活動持續進行中！

● 了解更多優惠訂閱內容
https://bit.ly/2QniwGq
-
● 給自由的你，訂閱一份新世代的報紙
https://bit.ly/2QniwGq
-",48960,1166,96,59,43,3,3
41,atunemusichebe,324818735671274,"看了《大豆田永久子與三個前夫》，
今晚我想來點壽喜燒。

好蛋、好肉、好醬，好好食。

「一段好的戀情是兩個人在一起的時候感到幸福，一個人獨處時也能開心。」

#大豆田永久子與三個前夫
#坂元裕二
#Hebereats
#壽喜燒",49353,1699,87,27,61,4,0
42,atunemusichebe,322254372594377,"上週下山後，收到爆炸式的資訊，專輯入圍金曲、限水、停電、疫情擴散狀況嚴峻，許多工作與活動臨時喊停，或未知的無限延期⋯，心情完全不是什麼憂喜參半可言，對疫情的憂心及醫護人員的擔心，完全蓋過金曲入圍什麼的。

乖乖待在家，休息沉澱，確實做好防疫將近一週。

今天是520，也是二十四節氣的小滿。

520是諧音梗愛好者適合告白的一天；而小滿——其含義是夏熟作物的籽粒開始灌漿飽滿，但還未成熟，只是小滿，還未大滿。

身為諧音梗愛用者aka節氣女歌手的我，想在520這天，用愛灌溉，讓你雖未大滿的心覺得豐盈。

翻開手機相簿，想在疫情嚴峻，人心惶惶時，分享遼闊的風景，讓你透過視覺大口呼吸，安定身心。（風景太美，照片太多，造成我嚴重選擇困難症）

這次是第一次嘗試揹重裝（自以為身強力壯，事前完全沒做負重練習，就錯誤示範揹了約自己體重三分之一的重量）進行奇萊南華三天兩夜行。

在出發前兩天，得知能高越嶺前段因坍方整治，必須封鎖道路，暫時要改道高繞，會多走約兩個多小時。（是要上上下下頗多攀繩路段，不是公園散步微風徐徐吹來的那種兩小時）

晚起登又渴望早到天池山莊的我，一路求快企圖重裝飛奔，飛奔的過程還是不忘享受沿路風景，沿途也進行了衝突又爽快的液體補充，補充水份、利尿咖啡、再補多汁水蜜桃。

邊走邊嘻笑哼唱當然少不了，歌單有：
「蝸牛」：我要一步一步往上爬~
「背包」：你的背包～揹到現在還沒爛～
更離譜的是我還唱了「蝸牛與黃鸝鳥」
（你沒看錯，盡是一堆老歌，身體是很誠實的，人一累本能反應就出現，老人歌單湧現）：
阿門　阿前　一棵葡萄樹
阿嫩　阿嫩　綠的剛發芽
蝸牛背著那重重的殼
一步一步地往上爬

阿樹　阿上　兩隻黃鸝鳥
阿嘻　阿嘻哈哈　在笑它
葡萄成熟還早地很呀
現在上來要幹什麼

阿黃　阿黃鸝鳥　不要笑
等我爬上它就成熟了

（對，整首歌詞貼上來，嗯，我就是這麼欠揍）

葡萄成熟時，我也終於到了天池山莊，要走階梯下營地時，我知道我的膝蓋在生氣抗議了。

第一次嘗試在山屋打菜吃晚餐，飢寒交迫（對我浮誇又詞窮）的我，每一口飯菜都覺得好幸福滿足。

晚餐後幫累成喪屍的山友同學，在帳篷裡切蛋糕吹蠟燭慶生。相信連吹蠟燭都快沒力氣的生日，會讓她永生難忘，哈哈。

白天大汗淋漓，用濕巾簡單擦拭，伴著整頭未乾想念著家裡強風吹風機的長髮，睡了一個半小時，微頭痛即摸黑起床，準備早餐後看日出去。

走出帳篷，還來不及感受睏倦，看見滿天星斗，立刻被天空浪漫到覺得自己未滿18，渾身帶勁到不行。

吃完早餐，戴著頭燈，懷著雀躍的心，一路向上，準備先去南華山看日出。

一路上山的步伐，大概就是懷著與暗戀愛慕很久的對象，即將初次約會的心情吧。夢幻漸變的天色，讓身體賀爾蒙及心緒，都起了奇妙愉悅的變化，箇中滋味可能走過才能體會，或是我用唱的會比說的貼切。（我把我的靈魂送給你，或是一首歌～）

天色漸亮，我們走到了南華山頂，靜靜地躺在劍竹上，等待日出來臨。
太陽出來了，日出正好是5:20，好像天地正告訴我，祂愛著我，要我好好享受上天充滿生命力，分秒流動的藝術品。
此刻生命的火花在心裡點亮，讚嘆這大概是我看過最美麗的風景了，平靜豐盛又感恩。
內心的香格里拉不在遠處，就正在自己心裡。

運氣太好，天氣極好，大景群山環繞，這樣的時刻，從容地喝著手沖咖啡，眼耳鼻舌與心都好享受。

享受完這座山頭，準備前往另一座奇萊南峰。
上奇萊南峰時，與三兩年輕山友擦身，聽到她們聊天內容：A:妳覺得妳能爬到幾歲呀？B:四十歲膝蓋就不行了吧！

當時這對話聽在我耳裡 ，同時38的我的右膝每一步都在吶喊，我的心是爆笑出來的。哈哈，還沒40膝蓋就被說中，甄是弱爆，老嫗好解。

膝蓋不舒服的小插曲，一點也不減這趟旅程的美，因為同行山友們的協力照顧，更覺得人間值得又溫暖。
也因此提醒自己未來要更強化各種肌群的平衡使用與鍛鍊。

做一張喜歡的專輯，大概就像爬一座喜歡的山。找上喜歡的夥伴，應著彼此長處才華的差異與強弱，相互支持著，一步一腳印，一字一句，每個音符與每份心意，如實呈現。過程很美，箇中滋味無人知曉，只有一起走過的人才明瞭。
真心感謝所有創作者，和團隊的每個夥伴。
而好天氣登頂後的”大景”，大概就是金曲獎吧。能有大景當然覺得開心幸運，但爬山從來不只是為了大景啊！

#小學生寫完流水帳日記了
#終於要去處理躺在陽台一週灰頭土臉的登山鞋跟登山杖了
#居家防疫落落長文應該有人有空閱讀了吧哈
#怎麼辦我還有好多風景美照耶好慌喔

📷by
S. Tung Photography",122671,6523,350,94,98,6,4
43,atunemusichebe,315834456569702,"喜歡在妳的小花園跟在妳身旁，聽妳分享植物們的近況。
怎麼雞蛋花沒有全開就落下、要我伸手摸摸妳種的萬壽菊，再聞一下手上的餘香、我們一起彎腰把鼻子湊近梔子花大口吸她們的香⋯

喜歡和妳在一起的所有時光，
因為妳，我能品嚐生命的各種滋味。

懂得喜歡自己，
懂得珍愛妳給我這一生的時光，
或許就是喜歡妳最好的表達。

我會努力做個懂事的孩子。

謝謝媽媽❤️

母親節快樂！",48116,1999,80,7,17,0,0
44,atunemusichebe,311133707039777,"ㄌㄩㄝ！

五月的第一天，我也是有在勞動的好嗎？

有點不習慣，告訴自己疲勞也是如幻如化。

洗睡去！

#五月你好
#好的如幻如化
#不好的也是如幻如化
#晚安
#好眠",57771,2501,149,314,30,1,0
45,atunemusichebe,309989490487532,"終於奉上【無人知曉】專輯最後一首歌《人什麼的最麻煩了》的MV了。

在喝了兩杯的夜裡，邊回想著整張專輯如何長成這樣，自己一路又經歷了什麼，眼眶濕濕的，心裡感動又感謝。

謝謝時間，謝謝所有的人，謝謝生命給我的養分。

想到MV最後，在無人世界裡，拍拍我肩膀那隻有溫度人類的手，就是當初給我第一張專輯裡《To Hebe》這首歌的那隻手。真覺得，人什麼的真可愛，人什麼的真有愛。

謝謝談宗藩和愛妮，對作品細細密密、辛辛苦苦用的兩顆心。每一幀的完美，都讓我心裡隱隱覺得極舒服，又不太舒服。畫面說出一邊享受又一邊不安的矛盾感，實在好喜歡！

我一直都知道，最麻煩的就是我自己。

#矛盾的人最麻煩了
#但人有不矛盾的嗎
#這張專輯句號了嗎
#無人知曉
#打字打到這裡已經半瓶了
#酒醒要刪文嗎哈哈
#謝謝巫女亂舞的黑膠談談讓它跟我回家
#誰說我可以叫談宗藩談談的",37595,1765,107,50,21,3,3
46,atunemusichebe,309118307241317,"/小樂手/

🛹《人什麼的最麻煩了》完整MV：https://youtu.be/fK7Bqy0mdK8

97、98、99….…時間正在倒數，她和世界正在進行一場捉迷藏
倒數結束，全世界的人都消失了
走進田馥甄的無人世界 接近無人知曉的她

人不見了 有點自由 有點寂寞
人什麼的最麻煩了
原來 沒有人 才最麻煩

#田馥甄人什麼的最麻煩了",14843,1236,47,10,26,3,1
47,atunemusichebe,307919280694553,"/小樂手/

【自找麻煩！人不麻煩，沒有人，才是最麻煩的。】

田馥甄說：「無人世界，要沒有人，就是最麻煩的事。」十支MV，哪有一支不麻煩的？無人知曉。
人啊，不麻煩的事情不做，麻煩到底，矛盾到底，難搞到底，人什麼的最麻煩了。

#田馥甄人什麼的最麻煩了",10686,626,24,34,12,1,0
48,atunemusichebe,306977474122067,"山林飄落油桐花雪，好美。

#桃園大溪金面山

Photo by S. Tung Photography",39269,1157,55,8,36,0,1
49,atunemusichebe,303621207791027,"感受【聽見歌 再唱】
感動孩子們單純的美好
感謝老師不放棄的熱忱
在信心與資源匱乏之時
讓歌聲傳遞到心靈深處
真善美總能讓眼角失守

真摯動人的電影看起來！

#聽見歌再唱",39497,1598,105,8,14,2,1
50,atunemusichebe,303261334493681,"用力抓住草莓季的尾巴🍓
愛的力量獻給我愛的手足❤

#哥哥生日快樂
#草莓伯爵戚風
#數不清第幾個草莓蛋糕
#晚安
#好眠",46716,1387,81,15,41,4,1
51,atunemusichebe,299622861524195,"/小樂手/

今晚想要喝一杯聊聊天嗎？
現在就到 微醉 HOROYOI 　的活動貼文底下留言「今晚我和微醉有約」
就可以開始和馥甄一對一聊天唷！❤️
https://www.facebook.com/twhoroyoi/posts/5613689545322709/

記得～活動要玩到最後唷！這樣才不會錯過…..小驚喜喔！
只要參加活動就有機會可以獲得【ほろよい乳酸沙瓦（6瓶）】和【馥甄親筆簽名的ほろよい乳酸沙瓦】喔!!

大家快一起來聊天吧～

#ほろよい
＃大人的微醉夜
＃我的晚酌時光 ＃乳酸沙瓦新朋友 #新鮮又熟悉的好滋味",2355,224,7,3,5,0,0
52,atunemusichebe,294385018714646,"清明時節，願世間的溫暖和善意，把人們心上的霾吹散，帶來清明與平靜。

追憶讓我們更懂珍惜。❤",56388,1064,272,6,16,42,1
53,atunemusichebe,292191068934041,"👏聽見歌再唱🎬

我不是在山裡，就是在去戲院看《聽見歌再唱》的路上

#聽見歌再唱
#拍拍手
#加加油
#這位山友手要拍路也要看啊😂

陳嘉樺 Ella",34771,1725,83,582,30,2,2
54,atunemusichebe,291709902315491,"38阿花一朵花！

謝謝你們❤

#鳶山彩壁",116166,4249,216,207,52,1,2
55,atunemusichebe,290056019147546,"☀️豐盛的一天❤

#謝謝
#晚安
#好眠",80286,2358,160,25,37,1,1
56,atunemusichebe,275295697290245,"啊啊啊！！！容易嗎？！🎉🍾🎈

唐老師辛苦了！謝謝妳❤

#且看且珍惜
#值得紀念
#不能只是限動",99275,3122,219,33,55,2,2
57,atunemusichebe,274189534067528,"三月的第一天，做喜歡的事開場；連假的最後一天，做喜歡的事收尾。❤🏸

Hi！ 三月你好！👋

#三月你好
#羽球小奇才
#晚安
#好眠",209709,4694,414,93,139,3,2
58,atunemusichebe,270406561112492,田馥甄 Hebe,19289,697,41,4,19,0,0
59,atunemusichebe,269231574563324,"牛年，
把會長準備的會服穿起來！
石牛山爬起來！

#牛年
#石牛山
#競選背心的部分
#黑色有比較像霹靂小組嗎",43528,1384,59,176,20,1,1
60,atunemusichebe,3721083474613758,"/小樂手/

一步一步跟著自己的步調前進
一步一步感受世界的呼吸
一步一步過好每個日常
學習放慢時間，放慢腳步

走進山 接近山
自然甄好

#好運動起來何樂而不為
#田馥甄爬山趣",12445,854,33,9,18,0,0
61,atunemusichebe,3717952054926900,"開工大吉

🙌🌠💛

不只祝你有美好的一天
還想祝你有美好的一年",101167,2506,186,36,29,2,2
62,atunemusichebe,3714336415288464,"初四

Cow近大自然
牛 年 第 一 爬
🐮💚🌳🌿☀️

新 年 快 樂 💙",74231,1630,124,30,32,0,0
63,atunemusichebe,3711815445540561,"初三

🐦

新年快樂💚",35215,1114,56,22,27,2,1
